ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
6fyPqMRXc3jgTkH0vbq0aA,the crescendos,5,358,,2013,2013,2,2,1416.0
1rnovQohVJH2iw8vJn0BTt,dj ak,25,5795,popping,2008,2023,20,1,21667.0
0RGstRAHglCFws2h096TFM,trần mạnh tuấn,20,18468,"viet instrumental, vietnamese pop",2003,2024,17,1,3694.0
74pi4wcNMJ20RYsbbEmA46,jeff pearce,29,5465,"ambient, chapman stick, deep ambient, drift",1996,2024,20,1,21453.0
0803Rut1PDac7orC81qCzE,astral son,1,778,"deep space rock, indie psychedelic rock, space rock",2014,2023,5,8,174.0
7hP18I3inyxloiXSpUfVmd,axel salles,0,0,,2017,2017,1,11,9.0
2viSJD1nFUUjMOfT3cHJ9X,the ravenous,2,571,,2000,2023,4,4,174.0
0xNAWavJQKhOxqGUTuURQf,kill the moose,0,101,"french shoegaze, nice indie",2018,2018,3,4,49.0
6kz0tylsF38PvhJmITn7MV,jean walter,4,606,,-1,-1,0,0,1314.0
5kyVx17cWl8rP63IPgyAb6,spailpin,17,792,irish pub song,2012,2012,1,15,15023.0
5BzzAgWSH6Q4yPQOAKeWRd,suneeta rao,26,19295,,1989,2023,7,2,55435.0
49sfEmaKLL2xxFdB1noxL0,oil tasters,1,196,,2005,2005,1,15,142.0
5cMUNGXx2zOwycgvMkJNAq,thalya hill,0,8,,2011,2011,1,8,76.0
0qQ1mMQ5A3WBxSeWK5zUDS,airlord,2,133,,1977,1977,1,7,527.0
0LSyV6ix8m0ghZXBzeknTQ,billy massey,0,1,,-1,-1,0,0,6.0
6FEYGjQTtWMIuArvKoJzBy,stéphanie blanchoud,8,651,belgian singer-songwriter,2020,2022,5,1,1397.0
0sm4ElBrt1BhoJQXwX7ATK,el rojo,5,2040,italian stoner rock,2018,2022,6,6,1187.0
6JY8M1LEFbWC0mdFU9ERXn,foldplop,0,21,,2010,2011,3,6,1.0
71iJsUpIhBD1JH9gdfABZw,euro gotit,0,1,,-1,-1,0,0,0.0
4tdWDBs1JgSJUC6uh4VKds,cornelia lootsmann,0,1,,-1,-1,0,0,3.0
6r3rY1KFB5MJR3RTN7EDWf,k.avett,0,349,,2014,2018,5,1,131.0
5q88Q8ohgv6JupGXC7mWzI,warren williams,4,2163,,2022,2023,3,1,695.0
2rBKHl5s4BmLpCLMDg7yPS,armageddance,0,116,goa trance,-1,-1,0,0,45.0
2Ug4u2jd2Igd5yVqHCSeTX,common children,6,2258,"christian punk, deep christian rock",1996,2001,3,12,612.0
1rKIzxu7CP43TGCqKp1icO,peter gagliardi,1,62,,2012,2023,19,6,95.0
0uTUvpCj4xTalfCHuBZL3B,daniel kamas,0,28,,2010,2010,1,4,26.0
1RVFLX2R4STIvW289PpzCE,teresa winter,8,1359,electra,2017,2023,4,1,1030.0
5C5GfmE4R2O3cVCpKLxXH7,james waddell,0,0,,-1,-1,0,0,0.0
6vSbU4nmdGL5puwiMOhkAZ,myrna hague,6,265,vintage reggae,2014,2014,1,12,1966.0
